"","Name","Location","Tags","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","Action","Profile","Options","Target"
"31","SCOPED_PARTNER_TO_WEB-SRV-01_33","Shared","partner-integration","universal","outside","PARTNER-VENDOR-B","any","any","dmz","WEB-SRV-01","any","ssl","application-default","Allow","strict","","any"
"32","RISKY_OUTSIDE_TO_APP-SRV-01_38","Shared","remote-access","universal","outside","any","any","any","server","APP-SRV-01","any","splashtop","application-default","Allow","none","","any"
"33","STD_SERVER_TO_MGMT_1925","Shared","app-team","universal","server","IOT-GATEWAY-01","any","any","mgmt","DC-01","any","snmp-base","application-default","Allow","strict","","any"
"34","STD_SERVER_TO_AD_155","Shared","standard","universal","server","WORKSTATIONS-FLOOR1","any","any","ad","FILE-SRV-01","any","mqtt","application-default","Allow","none","","any"
"35","STD_MGMT_TO_INSIDE_2466","Shared","app-team","universal","mgmt","WORKSTATIONS-FLOOR2","any","any","inside","DB-SRV-01","any","dns","application-default","Allow","none","","any"
"36","STD_VOIP_TO_DMZ_2915","Shared","none","universal","voip","DC-01","any","any","dmz","APP-SRV-01","any","dns","application-default","Allow","none","","any"
"37","STD_SERVER_TO_VOIP_811","Shared","standard","universal","server","WEB-SRV-01","any","any","voip","DB-SRV-01","any","ssl","application-default","Allow","strict","","any"
"38","DUPLICATE_NAME_TEST","Shared","none","universal","outside","any","any","any","dmz","WEB-SRV-01","any","ssl","application-default","Allow","strict","","any"
"39","BROAD_INTERNAL_POS_TO_INSIDE_36","Shared","internal","universal","pos","any","any","any","inside","any","any","any","any","Allow","none","","any"
"40","STD_DMZ_TO_POS_53","Shared","app-team","universal","dmz","DB-SRV-01","any","any","pos","APP-SRV-01","any","sip","application-default","Allow","none","","any"
"41","STD_VOIP_TO_POS_3805","Shared","none","universal","voip","WEB-SRV-01","any","any","pos","VOIP-PBX-01","any","snmp-base","application-default","Allow","strict","","any"
"42","VOIP_TO_DC_25","Shared","ad-auth","universal","voip","any","any","any","ad","DOMAIN-CONTROLLERS-G","any","ms-ds-smb","application-default","Allow","none","","any"
"43","STD_SERVER_TO_OUTSIDE_328","Shared","app-team","universal","server","WEB-SRV-01","any","any","outside","8.8.8.8/32","any","ping","application-default","Allow","none","","any"
"44","STD_IOT_TO_VOIP_3140","Shared","standard","universal","iot","WEB-SRV-02","any","any","voip","FILE-SRV-01","any","sip","application-default","Allow","strict","","any"
"45","BROAD_INTERNAL_VOIP_TO_AD_17","Shared","internal","universal","voip","any","any","any","ad","any","any","any","any","Allow","none","","any"
"46","OUTBOUND_SCOPED_9","Shared","outbound-standard","universal","inside","WORKSTATIONS-FLOOR1","any","any","outside","VPN-CLIENT-RANGE","any","smtp","application-default","Allow","strict","","any"
"47","STD_POS_TO_MGMT_3292","Shared","none","universal","pos","APP-SRV-02","any","any","mgmt","FILE-SRV-01","any","voip-generic","application-default","Allow","strict","","any"
"48","STD_DMZ_TO_POS_547","Shared","standard","universal","dmz","WEB-SRV-02","any","any","pos","FILE-SRV-01","any","ping","application-default","Allow","strict","","any"
"49","SCOPED_NO_PROFILE_3","Shared","partner-integration","universal","outside","PARTNER-VENDOR-A","any","any","dmz","API-GATEWAY-01","any","ssl","application-default","Allow","none","","any"
"50","STD_POS_TO_OUTSIDE_670","Shared","app-team","universal","pos","API-GATEWAY-01","any","any","outside","8.8.8.8/32","any","dns","application-default","Allow","none","","any"
"51","OPEN_OUTSIDE_TO_WEB-SERVERS-G_12","Shared","none","universal","outside","any","any","any","dmz","WEB-SERVERS-G","any","any","application-default","Allow","none","","any"
"52","STD_INSIDE_TO_IOT_2517","Shared","none","universal","inside","APP-SRV-01","any","any","iot","VOIP-PBX-01","any","dns","application-default","Allow","none","","any"
"53","STD_INSIDE_TO_POS_2523","Shared","standard","universal","inside","VOIP-PBX-01","any","any","pos","APP-SRV-01","any","sip","application-default","Allow","strict","","any"
"54","STD_IOT_TO_VOIP_2057","Shared","none","universal","iot","APP-SRV-02","any","any","voip","FILE-SRV-01","any","mqtt","application-default","Allow","strict","","any"
"55","STD_OUTSIDE_TO_DMZ_2666","Shared","standard","universal","outside","any","any","any","dmz","VOIP-PBX-01","any","smtp","application-default","Allow","none","","any"
"56","STD_IOT_TO_OUTSIDE_2071","Shared","none","universal","iot","APP-SRV-02","any","any","outside","1.1.1.1/32","any","ntp","application-default","Allow","none","","any"
"57","BROAD_INTERNAL_POS_TO_INSIDE_77","Shared","internal","universal","pos","any","any","any","inside","any","any","any","any","Allow","none","","any"
"58","STD_MGMT_TO_VOIP_47","Shared","none","universal","mgmt","VOIP-PBX-01","any","any","voip","MGMT-JUMPBOX-01","any","ping","application-default","Allow","strict","","any"
"59","STD_SERVER_TO_POS_833","Shared","app-team","universal","server","WEB-SRV-01","any","any","pos","API-GATEWAY-01","any","smtp","application-default","Allow","strict","","any"
"60","BROAD_INTERNAL_VOIP_TO_INSIDE_54","Shared","internal","universal","voip","any","any","any","inside","any","any","any","any","Allow","none","","any"
"61","STD_SERVER_TO_MGMT_619","Shared","none","universal","server","WORKSTATIONS-FLOOR2","any","any","mgmt","APP-SRV-01","any","ssl","application-default","Allow","none","","any"
"62","DNS_OUTBOUND_8","Shared","none","universal","inside","MGMT-JUMPBOX-01","any","any","outside","1.1.1.1/32","any","any","application-default","Allow","strict","","any"
"63","STD_VOIP_TO_OUTSIDE_921","Shared","standard","universal","voip","MGMT-JUMPBOX-01","any","any","outside","8.8.8.8/32","any","ping","application-default","Allow","strict","","any"
"64","STD_SERVER_TO_AD_865","Shared","app-team","universal","server","IOT-GATEWAY-01","any","any","ad","IOT-GATEWAY-01","any","smtp","application-default","Allow","none","","any"
"65","STD_MGMT_TO_OUTSIDE_1825","Shared","standard","universal","mgmt","DC-01","any","any","outside","8.8.8.8/32","any","ssl","application-default","Allow","none","","any"
"66","STD_VOIP_TO_MGMT_3823","Shared","standard","universal","voip","IOT-GATEWAY-01","any","any","mgmt","DB-SRV-01","any","mqtt","application-default","Allow","strict","","any"
"67","STD_DMZ_TO_POS_849","Shared","standard","universal","dmz","VOIP-PBX-01","any","any","pos","MGMT-JUMPBOX-01","any","ntp","application-default","Allow","none","","any"
"68","STD_DMZ_TO_IOT_1492","Shared","standard","universal","dmz","APP-SRV-01","any","any","iot","DB-SRV-01","any","voip-generic","application-default","Allow","none","","any"
"69","STD_VOIP_TO_OUTSIDE_1932","Shared","none","universal","voip","APP-SRV-01","any","any","outside","9.9.9.9/32","any","mqtt","application-default","Allow","strict","","any"
"70","STD_MGMT_TO_POS_3495","Shared","none","universal","mgmt","IOT-GATEWAY-01","any","any","pos","DC-01","any","snmp-base","application-default","Allow","none","","any"
"71","STD_POS_TO_MGMT_143","Shared","app-team","universal","pos","APP-SRV-02","any","any","mgmt","DB-SRV-01","any","ntp","application-default","Allow","none","","any"
"72","SCOPED_PARTNER_TO_WEB-SRV-02_25","Shared","partner-integration","universal","outside","THIRD-PARTY-PAYMENT-GW","any","any","dmz","WEB-SRV-02","any","ssl","application-default","Allow","strict","","any"
"73","STD_OUTSIDE_TO_VOIP_616","Shared","none","universal","outside","any","any","any","voip","DB-SRV-01","any","sip","application-default","Allow","none","","any"
"74","STD_MGMT_TO_AD_1990","Shared","standard","universal","mgmt","WORKSTATIONS-FLOOR1","any","any","ad","WEB-SRV-01","any","ssl","application-default","Allow","strict","","any"
"75","STD_MGMT_TO_OUTSIDE_1905","Shared","standard","universal","mgmt","WORKSTATIONS-FLOOR1","any","any","outside","8.8.8.8/32","any","web-browsing","application-default","Allow","none","","any"
"76","STD_VOIP_TO_SERVER_1084","Shared","app-team","universal","voip","DB-SRV-01","any","any","server","DB-SRV-01","any","ping","application-default","Allow","strict","","any"
"77","STD_MGMT_TO_INSIDE_2024","Shared","standard","universal","mgmt","APP-SRV-01","any","any","inside","API-GATEWAY-01","any","dns","application-default","Allow","strict","","any"
"78","STD_POS_TO_DMZ_1094","Shared","app-team","universal","pos","APP-SRV-02","any","any","dmz","API-GATEWAY-01","any","ntp","application-default","Allow","none","","any"
"79","STD_DMZ_TO_OUTSIDE_229","Shared","app-team","universal","dmz","WEB-SRV-02","any","any","outside","1.1.1.1/32","any","mqtt","application-default","Allow","strict","","any"
"80","STD_OUTSIDE_TO_AD_1645","Shared","standard","universal","outside","any","any","any","ad","VOIP-PBX-01","any","voip-generic","application-default","Allow","strict","","any"
"81","STD_POS_TO_SERVER_3356","Shared","none","universal","pos","DB-SRV-01","any","any","server","API-GATEWAY-01","any","snmp-base","application-default","Allow","strict","","any"
"82","STD_VOIP_TO_OUTSIDE_2746","Shared","standard","universal","voip","FILE-SRV-01","any","any","outside","1.1.1.1/32","any","ssl","application-default","Allow","strict","","any"
"83","STD_MGMT_TO_VOIP_3700","Shared","none","universal","mgmt","MGMT-JUMPBOX-01","any","any","voip","WORKSTATIONS-FLOOR2","any","smtp","application-default","Allow","strict","","any"
"84","STD_SERVER_TO_MGMT_115","Shared","app-team","universal","server","WEB-SRV-01","any","any","mgmt","VOIP-PBX-01","any","snmp-base","application-default","Allow","strict","","any"
"85","STD_DMZ_TO_OUTSIDE_2381","Shared","standard","universal","dmz","WORKSTATIONS-FLOOR2","any","any","outside","8.8.8.8/32","any","smtp","application-default","Allow","strict","","any"
"86","STD_OUTSIDE_TO_SERVER_2163","Shared","standard","universal","outside","any","any","any","server","WORKSTATIONS-FLOOR1","any","mqtt","application-default","Allow","strict","","any"
"87","STD_INSIDE_TO_OUTSIDE_1407","Shared","none","universal","inside","APP-SRV-01","any","any","outside","9.9.9.9/32","any","mqtt","application-default","Allow","none","","any"
"88","STD_VOIP_TO_POS_1823","Shared","standard","universal","voip","VOIP-PBX-01","any","any","pos","APP-SRV-01","any","ssl","application-default","Allow","none","","any"
"89","STD_MGMT_TO_OUTSIDE_3413","Shared","app-team","universal","mgmt","APP-SRV-01","any","any","outside","9.9.9.9/32","any","smtp","application-default","Allow","strict","","any"
"90","STD_VOIP_TO_AD_2327","Shared","standard","universal","voip","WEB-SRV-01","any","any","ad","IOT-GATEWAY-01","any","ssl","application-default","Allow","strict","","any"
"91","STD_SERVER_TO_POS_3852","Shared","app-team","universal","server","WEB-SRV-01","any","any","pos","APP-SRV-02","any","smtp","application-default","Allow","none","","any"
"92","STD_INSIDE_TO_MGMT_3261","Shared","app-team","universal","inside","WEB-SRV-01","any","any","mgmt","MGMT-JUMPBOX-01","any","web-browsing","application-default","Allow","none","","any"
"93","STD_INSIDE_TO_OUTSIDE_1713","Shared","none","universal","inside","IOT-GATEWAY-01","any","any","outside","8.8.8.8/32","any","ping","application-default","Allow","none","","any"
"94","STD_INSIDE_TO_AD_709","Shared","app-team","universal","inside","API-GATEWAY-01","any","any","ad","VOIP-PBX-01","any","sip","application-default","Allow","strict","","any"
"95","STD_VOIP_TO_IOT_448","Shared","standard","universal","voip","WORKSTATIONS-FLOOR2","any","any","iot","APP-SRV-02","any","mqtt","application-default","Allow","strict","","any"
"96","STD_VOIP_TO_INSIDE_2980","Shared","standard","universal","voip","IOT-GATEWAY-01","any","any","inside","VOIP-PBX-01","any","ssl","application-default","Allow","strict","","any"
"97","RISKY_OUTSIDE_TO_APP-SRV-01_42","Shared","remote-access","universal","outside","any","any","any","inside","APP-SRV-01","any","ldap","application-default","Allow","none","","any"
"98","OUTBOUND_OPEN_35","Shared","legacy-open","universal","iot","any","any","any","outside","any","any","any","any","Allow","none","","any"
"99","STD_AD_TO_OUTSIDE_1062","Shared","app-team","universal","ad","APP-SRV-01","any","any","outside","9.9.9.9/32","any","web-browsing","application-default","Allow","none","","any"
"100","STD_VOIP_TO_IOT_1427","Shared","none","universal","voip","DC-01","any","any","iot","WORKSTATIONS-FLOOR1","any","smtp","application-default","Allow","strict","","any"
"101","STD_IOT_TO_MGMT_1358","Shared","standard","universal","iot","WORKSTATIONS-FLOOR1","any","any","mgmt","DC-01","any","sip","application-default","Allow","strict","","any"
"102","STD_IOT_TO_OUTSIDE_2940","Shared","standard","universal","iot","APP-SRV-01","any","any","outside","9.9.9.9/32","any","dns","application-default","Allow","none","","any"
"103","STD_MGMT_TO_IOT_100","Shared","standard","universal","mgmt","WORKSTATIONS-FLOOR2","any","any","iot","APP-SRV-01","any","sip","application-default","Allow","strict","","any"
"104","RISKY_OUTSIDE_TO_FILE-SRV-01_84","Shared","remote-access","universal","outside","any","any","any","mgmt","FILE-SRV-01","any","ms-ds-smb","application-default","Allow","none","","any"
"105","STD_OUTSIDE_TO_DMZ_1554","Shared","none","universal","outside","any","any","any","dmz","WORKSTATIONS-FLOOR2","any","mqtt","application-default","Allow","none","","any"
"106","STD_VOIP_TO_POS_2153","Shared","none","universal","voip","DC-01","any","any","pos","DC-01","any","dns","application-default","Allow","none","","any"
"107","LEGACY_PORT_68","Shared","legacy-port","universal","outside","any","any","any","pos","BACKUP-SRV-01","any","any","tcp-445","Allow","none","","any"
"108","STD_VOIP_TO_IOT_501","Shared","app-team","universal","voip","WORKSTATIONS-FLOOR1","any","any","iot","FILE-SRV-01","any","ntp","application-default","Allow","none","","any"
"109","STD_IOT_TO_VOIP_3273","Shared","standard","universal","iot","APP-SRV-02","any","any","voip","WEB-SRV-02","any","sip","application-default","Allow","strict","","any"
"110","STD_VOIP_TO_OUTSIDE_788","Shared","app-team","universal","voip","DC-01","any","any","outside","8.8.8.8/32","any","sip","application-default","Allow","strict","","any"
"111","OPEN_OUTSIDE_TO_CRITICAL-INFRA-G_121","Shared","none","universal","outside","any","any","any","mgmt","CRITICAL-INFRA-G","any","ms-ds-smb","application-default","Allow","none","","any"
"112","OUTBOUND_OPEN_47","Shared","legacy-open","universal","server","any","any","any","outside","any","any","any","any","Allow","none","","any"
"113","STD_DMZ_TO_AD_3964","Shared","standard","universal","dmz","API-GATEWAY-01","any","any","ad","IOT-GATEWAY-01","any","ssl","application-default","Allow","strict","","any"
"114","STD_VOIP_TO_SERVER_40","Shared","none","universal","voip","WORKSTATIONS-FLOOR2","any","any","server","IOT-GATEWAY-01","any","voip-generic","application-default","Allow","strict","","any"
"115","STD_OUTSIDE_TO_MGMT_2101","Shared","standard","universal","outside","any","any","any","mgmt","WEB-SRV-02","any","sip","application-default","Allow","none","","any"
"116","STD_SERVER_TO_VOIP_1712","Shared","standard","universal","server","MGMT-JUMPBOX-01","any","any","voip","FILE-SRV-01","any","voip-generic","application-default","Allow","strict","","any"
"117","CORP_TO_AD_13","Shared","admin-access","universal","server","any","any","any","ad","any","any","any","application-default","Allow","none","","any"
"118","STD_VOIP_TO_OUTSIDE_127","Shared","standard","universal","voip","FILE-SRV-01","any","any","outside","8.8.8.8/32","any","smtp","application-default","Allow","strict","","any"
"119","DNS_OUTBOUND_38","Shared","none","universal","inside","MGMT-JUMPBOX-01","any","any","outside","8.8.8.8/32","any","any","tcp-853","Allow","none","","any"
"120","STD_POS_TO_MGMT_497","Shared","standard","universal","pos","VOIP-PBX-01","any","any","mgmt","DB-SRV-01","any","ping","application-default","Allow","strict","","any"
"121","STD_MGMT_TO_AD_545","Shared","standard","universal","mgmt","WORKSTATIONS-FLOOR2","any","any","ad","VOIP-PBX-01","any","dns","application-default","Allow","strict","","any"
"122","BROAD_INTERNAL_VOIP_TO_IOT_10","Shared","internal","universal","voip","any","any","any","iot","any","any","any","any","Allow","none","","any"
"123","STD_INSIDE_TO_VOIP_1345","Shared","standard","universal","inside","DC-01","any","any","voip","IOT-GATEWAY-01","any","ping","application-default","Allow","none","","any"
"124","STD_AD_TO_IOT_3758","Shared","standard","universal","ad","WORKSTATIONS-FLOOR2","any","any","iot","APP-SRV-02","any","dns","application-default","Allow","strict","","any"
"125","STD_VOIP_TO_AD_2336","Shared","app-team","universal","voip","WORKSTATIONS-FLOOR1","any","any","ad","APP-SRV-01","any","web-browsing","application-default","Allow","none","","any"
"126","RISKY_OUTSIDE_TO_APP-SRV-01_20","Shared","remote-access","universal","outside","any","any","any","voip","APP-SRV-01","any","splashtop","application-default","Allow","none","","any"
"127","STD_AD_TO_MGMT_942","Shared","standard","universal","ad","WEB-SRV-02","any","any","mgmt","IOT-GATEWAY-01","any","ping","application-default","Allow","strict","","any"
"128","STD_VOIP_TO_POS_3761","Shared","standard","universal","voip","APP-SRV-02","any","any","pos","VOIP-PBX-01","any","ssl","application-default","Allow","none","","any"
"129","STD_OUTSIDE_TO_DMZ_3302","Shared","standard","universal","outside","any","any","any","dmz","API-GATEWAY-01","any","dns","application-default","Allow","strict","","any"
"130","STD_IOT_TO_POS_2114","Shared","none","universal","iot","FILE-SRV-01","any","any","pos","WORKSTATIONS-FLOOR2","any","ping","application-default","Allow","none","","any"
"131","STD_DMZ_TO_AD_2731","Shared","none","universal","dmz","IOT-GATEWAY-01","any","any","ad","API-GATEWAY-01","any","ping","application-default","Allow","strict","","any"
"132","STD_VOIP_TO_MGMT_2379","Shared","none","universal","voip","API-GATEWAY-01","any","any","mgmt","API-GATEWAY-01","any","sip","application-default","Allow","none","","any"
"133","OUTBOUND_OPEN_41","Shared","legacy-open","universal","iot","any","any","any","outside","any","any","any","any","Allow","none","","any"
"134","STD_AD_TO_INSIDE_3697","Shared","standard","universal","ad","WEB-SRV-02","any","any","inside","WORKSTATIONS-FLOOR1","any","mqtt","application-default","Allow","strict","","any"
"135","LEGACY_PORT_63","Shared","legacy-port","universal","outside","any","any","any","mgmt","APP-SRV-01","any","any","tcp-23","Allow","none","","any"
"136","STD_DMZ_TO_POS_3877","Shared","standard","universal","dmz","APP-SRV-01","any","any","pos","WEB-SRV-01","any","dns","application-default","Allow","strict","","any"
"137","STD_SERVER_TO_AD_2581","Shared","standard","universal","server","VOIP-PBX-01","any","any","ad","WEB-SRV-02","any","ssl","application-default","Allow","strict","","any"
"138","STD_SERVER_TO_DMZ_2077","Shared","app-team","universal","server","DB-SRV-01","any","any","dmz","DC-01","any","sip","application-default","Allow","none","","any"
"139","STD_VOIP_TO_IOT_3036","Shared","app-team","universal","voip","WEB-SRV-01","any","any","iot","VOIP-PBX-01","any","sip","application-default","Allow","none","","any"
"140","STD_OUTSIDE_TO_POS_3486","Shared","app-team","universal","outside","any","any","any","pos","FILE-SRV-01","any","ntp","application-default","Allow","none","","any"
"141","STD_IOT_TO_OUTSIDE_2329","Shared","standard","universal","iot","APP-SRV-02","any","any","outside","1.1.1.1/32","any","sip","application-default","Allow","strict","","any"
"142","STD_DMZ_TO_VOIP_3793","Shared","standard","universal","dmz","DB-SRV-01","any","any","voip","MGMT-JUMPBOX-01","any","web-browsing","application-default","Allow","strict","","any"
"143","STD_INSIDE_TO_AD_2669","Shared","standard","universal","inside","DC-01","any","any","ad","DB-SRV-01","any","dns","application-default","Allow","strict","","any"
"144","OPEN_OUTSIDE_TO_WEB-SERVERS-G_43","Shared","none","universal","outside","any","any","any","dmz","WEB-SERVERS-G","any","any","application-default","Allow","none","","any"
"145","OPEN_OUTSIDE_TO_APP-SERVERS-G_47","Shared","legacy-open","universal","outside","any","any","any","dmz","APP-SERVERS-G","any","splashtop","application-default","Allow","none","","any"
"146","NEGATED_RFC1918_12","Shared","none","universal","server","[Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255","any","any","outside","any","any","web-browsing","application-default","Allow","strict","","any"
"147","STD_SERVER_TO_OUTSIDE_1466","Shared","standard","universal","server","WORKSTATIONS-FLOOR2","any","any","outside","1.1.1.1/32","any","voip-generic","application-default","Allow","strict","","any"
"148","STD_SERVER_TO_POS_3385","Shared","standard","universal","server","VOIP-PBX-01","any","any","pos","MGMT-JUMPBOX-01","any","smtp","application-default","Allow","strict","","any"
"149","STD_OUTSIDE_TO_SERVER_1119","Shared","standard","universal","outside","any","any","any","server","WEB-SRV-02","any","dns","application-default","Allow","none","","any"
"150","STD_OUTSIDE_TO_VOIP_351","Shared","standard","universal","outside","any","any","any","voip","WEB-SRV-02","any","smtp","application-default","Allow","none","","any"
"151","STD_DMZ_TO_IOT_3518","Shared","app-team","universal","dmz","WORKSTATIONS-FLOOR2","any","any","iot","APP-SRV-02","any","sip","application-default","Allow","none","","any"
"152","RISKY_OUTSIDE_TO_APP-SRV-01_51","Shared","remote-access","universal","outside","any","any","any","mgmt","APP-SRV-01","any","anydesk","application-default","Allow","none","","any"
"153","STD_OUTSIDE_TO_AD_5","Shared","none","universal","outside","any","any","any","ad","VOIP-PBX-01","any","ping","application-default","Allow","none","","any"
"154","STD_OUTSIDE_TO_AD_1367","Shared","standard","universal","outside","any","any","any","ad","WORKSTATIONS-FLOOR2","any","web-browsing","application-default","Allow","strict","","any"
"155","STD_POS_TO_DMZ_652","Shared","none","universal","pos","FILE-SRV-01","any","any","dmz","IOT-GATEWAY-01","any","web-browsing","application-default","Allow","strict","","any"
"156","STD_POS_TO_AD_3743","Shared","app-team","universal","pos","WORKSTATIONS-FLOOR1","any","any","ad","WEB-SRV-01","any","ping","application-default","Allow","strict","","any"
"157","STD_VOIP_TO_IOT_3903","Shared","app-team","universal","voip","VOIP-PBX-01","any","any","iot","WORKSTATIONS-FLOOR1","any","mqtt","application-default","Allow","none","","any"
"158","SCOPED_PARTNER_TO_API-GATEWAY-01_48","Shared","partner-integration","universal","outside","THIRD-PARTY-PAYMENT-GW","any","any","dmz","API-GATEWAY-01","any","ssl","application-default","Allow","strict","","any"
"159","STD_SERVER_TO_AD_1805","Shared","none","universal","server","API-GATEWAY-01","any","any","ad","DC-01","any","voip-generic","application-default","Allow","strict","","any"
"160","[Disabled] OLD_DISABLED_2","Shared","none","universal","outside","any","any","any","dmz","APP-SRV-01","any","any","any","Allow","none","","any"
"161","STD_SERVER_TO_IOT_1742","Shared","app-team","universal","server","VOIP-PBX-01","any","any","iot","APP-SRV-02","any","ssl","application-default","Allow","none","","any"
"162","STD_MGMT_TO_DMZ_2530","Shared","none","universal","mgmt","APP-SRV-02","any","any","dmz","WEB-SRV-01","any","snmp-base","application-default","Allow","strict","","any"
"163","STD_IOT_TO_DMZ_2572","Shared","app-team","universal","iot","APP-SRV-01","any","any","dmz","FILE-SRV-01","any","sip","application-default","Allow","strict","","any"
"164","STD_INSIDE_TO_SERVER_2648","Shared","standard","universal","inside","IOT-GATEWAY-01","any","any","server","DC-01","any","web-browsing","application-default","Allow","strict","","any"
"165","LEGACY_PORT_14","Shared","legacy-port","universal","inside","any","any","any","inside","APP-SRV-01","any","any","tcp-443","Allow","none","","any"
